index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
115,Yx Tolga,0,61234031,"Rørosveien 2051, Røsebygda, 2540 Tolga","62.3718777, 11.070463712524084",,,,,,,2022-02-24 01:39:34.145351,00.00
116,Yx Heidal,0,61197637,"Heidalsvegen 1791, 2676 Heidal","61.7584059, 9.2899861",,,,,,,2022-02-24 01:47:39.523915,00.00
117,Yx Reinsvoll,0,61360516,"Bøverbruvegen 11, 2840 Reinsvoll","60.6789834, 10.6164542",,,,,,,2022-02-24 02:30:47.349365,00.00
118,Yx Fagernes,0,61368230,"Valdresvegen 23, 2900 Fagernes","60.98667589152247, 9.236758391522464",,,,,,,2022-02-24 01:39:06.921160,00.00
119,Yx Ryfoss,0,32798810,"Riddarvegen 6, 2973 Ryfoss","61.1384057, 8.8222057",,,,,,,2022-02-24 01:39:34.145351,00.00
120,Yx Klokkarstua,0,32145162,"Åsheimveien 32, 3490 Klokkarstua","59.6139603, 10.4602797",,,,,,,2022-02-24 01:47:39.523915,00.00
121,Yx Sokna,0,91349820,"Hallingdalsveien 20, 3534 Sokna","62.9775893, 10.221497",,,,,,,2022-02-24 02:30:47.349365,00.00
122,Yx Veggli,0,35941232,"Numedalsvegen 5933, 3628 Veggli","60.0417856, 9.1581752",,,,,,,2022-02-24 01:39:06.921160,00.00
123,Yx Siljan,0,35553807,"Sentrumsveien 116, 3748 Siljan","60.8609764, 14.768424363700177",,,,,,,2022-02-24 01:39:06.921160,00.00
124,Yx Eidanger,0,35968000,"Vallermyrvegen 163, 3946 Porsgrunn","59.14097878624886, 9.656469286248855",,,,,,,2022-02-24 01:39:34.145351,00.00
125,Yx Stathelle,0,35968500,"Tønderveien 2, 3961 Stathelle","59.04536616304373, 9.698101763043725",,,,,,,2022-02-24 01:47:39.523915,00.00
126,Shell Lasses,0,51438132,"Europaveien 139, 3962 Stathelle","59.04541790038211, 9.698153500382107",,,,,,,2022-02-24 02:30:47.349365,00.00
127,Yx Ogna,0,51490800,"Nordsjøvegen 4325, 4364 Sirevåg","58.5033128, 5.7997184",,,,,,,2022-02-24 01:39:06.921160,00.00
128,Yx Eie,0,38370048,"Jernbaneveien 39, 4370 Egersund","58.4522678712393, 6.000368971239299",,,,,,,2022-02-24 01:39:34.145351,00.00
129,Yx Tonstad,0,38264900,"Sirdalsveien 3844, Fintland, 4440 Tonstad","58.664979673926844, 6.716498973926847",,,,,,,2022-02-24 01:47:39.523915,00.00
130,Tank Vigeland,0,38280210,"Hestehagen 2, 4521 Vigeland","58.079349729929156, 7.307300755012297",,,,,,,2022-02-24 02:30:47.349365,00.00
131,Yx Byremo,0,38085885,"Audnedalsveien 4493, 4529 Byremo","58.4214873, 7.4025825",,,,,,,2022-02-24 01:39:06.921160,00.00
132,Yx Kjos,0,38048777,"Holskogveien 2, 4624 Kristiansand S","58.11229190123762, 7.95512374914529",,,,,,,2022-02-24 01:39:34.145351,00.00
133,Yx Håneskrysset,0,37034157,"Hånesveien 2, 4635 Kristiansand S","58.16671707323384, 8.092856247887683",,,,,,,2022-02-24 01:47:39.523915,00.00
134,Yx Kilsund,0,37155025,"Kilsundveien 157, 4920 Staubø","58.5616076, 8.9810661",,,,,,,2022-02-24 02:30:47.349365,00.00
135,Yx Sørlandsporten,0,56394186,"Søndeledveien 30, 4994 Akland","58.7293143, 9.0414683",,,,,,,2022-02-24 01:39:06.921160,00.00
136,Yx Valestrandsfossen,0,53489176,"Småland, 5281 Valestrandsfossen","60.5055229, 5.428834",,,,,,,2022-02-24 01:39:34.145351,00.00
137,Ølve Bilsenter,0,56523120,"Ølvesvegen 690, 5637 Ølve","59.994268438299834, 5.785365638299833",,,,,,,2022-02-24 01:47:39.523915,00.00
138,Yx Skulestadmo,0,56597900,"Storrviki 2, 5710 Skulestadmo","60.656271472290314, 6.436909072290318",,,,,,,2022-02-24 02:30:47.349365,00.00
139,Dale Trafikksenter AS,0,56349445,"Dale Industriområde 14, 5722 Dalekvam","60.59178443397788, 5.819164933977875",,,,,,,2022-02-24 01:39:06.921160,00.00
140,Yx Manger,0,97786052,"Radøyvegen 1609 A, 5936 Manger","7.2174, 8.3236",,,,,,,2022-02-24 01:39:06.921160,00.00
141,Yx Larsnes,0,71661524,"Larsnesvegen 80, 6084 Larsnes","62.2019648, 5.5760648",,,,,,,2022-02-24 01:39:34.145351,00.00
142,Yx Surnadal,0,57850003,"Skeivegen 8, 6650 Surnadal","62.9228432, 8.787930646988247",,,,,,,2022-02-24 01:47:39.523915,00.00
143,Yx Måløy,0,57850003,"Nordfjordvegen, Vågsøy, 6718 Deknepollen","61.92298322796372, 5.1501301175002085",,,,,,,2022-02-24 02:30:47.349365,00.00
144,Yx Hafslo,0,73851481,"Hestnes 1, 6869 Hafslo","61.3154109, 7.2010333",,,,,,,2022-02-24 01:39:06.921160,00.00
145,Yx Rissa,0,72530300,"Badstuveien 2, 7100 Rissa","63.5841732, 9.9550944",,,,,,,2022-02-24 01:39:34.145351,00.00
146,Yx Åfjord,0,72433245,"Åvegen 7, 7170 Åfjord","64.0835634, 10.219907721089251",,,,,,,2022-02-24 01:47:39.523915,00.00
147,Yx Soknedal,0,40617515,"Soknedalsveien 573, 7288 Soknedal","62.9494362, 10.1874174",,,,,,,2022-02-24 02:30:47.349365,00.00
148,Yx Orkanger,0,73810180,"Tiltaksvegen 2, Bårdshaug vest, 7300 Orkanger","39.8575505, -86.03838673128485",,,,,,,2022-02-24 01:39:06.921160,00.00
149,Best Selbu,0,47649478,"Uglmoene 4, Innbygda, 7580 Selbu","63.1754254, 11.159626465065346",,,,,,,2022-02-24 01:39:34.145351,00.00
150,Yx Verdal,0,74322000,"Fløytarvegen 15, 7650 Verdal","63.78622565, 11.920335002020447",,,,,,,2022-02-24 01:47:39.523915,00.00
151,Yx Høylandet,0,74333695,"Sentrum 47, 7877 Høylandet","64.62735123513495, 12.299981735134962",,,,,,,2022-02-24 02:30:47.349365,00.00
152,Yx Trones,0,75031633,"Furuveien 4, 7892 Trones","64.7402677, 12.8449305",,,,,,,2022-02-24 01:39:06.921160,00.00
153,Yx Bogen,0,76930306,"Horsfjordveien 10, Bogen, 7982 Bindalseidet","65.1288156, 12.2337591",,,,,,,2022-02-24 01:39:34.145351,00.00
154,Yx Lødingen,0,76158099,"Sjøvegen 62, 8410 Lødingen","68.3944357, 15.609655745604854",,,,,,,2022-02-24 01:47:39.523915,00.00
155,Shell Melbu,0,61290436,"Strandgata 53, 8445 Melbu","68.5048801, 14.8068733",,,,,,,2022-02-24 02:30:47.349365,00.00
156,Yx Vinstra Trafikksenter AS,0,33183220,"Øvregata 23, 2640 Vinstra","61.59333218402443, 9.75761427486788",,,,,,,2022-02-24 01:39:06.921160,00.00
157,Circle K Torstrand,0,71257880,"Storgata 150, 3262 Larvik","59.05356876523068, 10.02757776523068",,,,,,,2022-02-24 01:39:06.921160,00.00
158,Yx7-eleven Reknes,0,95464004,"Julsundvegen 54, 6412 Molde","62.735481, 7.183590",,,,,,,2022-02-24 01:39:34.145351,00.00
159,Circle K Oppdal,0,75173733,"Inge Krokanns veg 1, 7340 Oppdal","62.613086454736674, 9.643955932314725",,,,,,,2022-02-24 01:47:39.523915,00.00
160,Circle K Mosjøen,0,78925236,"A.Kiellands gate 1, 8657 Mosjøen","65.838024710575, 13.194689610574995",,,,,,,2022-02-24 02:30:47.349365,00.00
161,Bunker Oil Austertana,0,95875120,"Austertanaveien 4331, 9842 Tana","70.44281018516332, 28.486754186943454",,,,,,,2022-02-24 01:39:06.921160,00.00
162,Mesnali bensin og anlegg AS,0,57736275,"Sjusjøvegen 1331, 2610 Mesnali","61.1028082, 10.6985733",,,,,,,2022-02-24 01:39:34.145351,00.00
163,Yx Dale,0,76983705,"Dalsvegen 102, 6963 Dale i Sunnfjord","61.36415182037289, 5.402875734954663",,,,,,,2022-02-24 01:47:39.523915,00.00
164,Yx Bogen i Ofoten,0,75151777,"Strandveien 50, 8533 Bogen i Ofoten","68.52639406659705, 16.995577209761418",,,,,,,2022-02-24 02:30:47.349365,00.00
165,YX 7-Eleven Selfors,0,75754308,"Saltfjellveien 32, 8613 Mo i Rana","66.32582663902552, 14.199537851152902",,,,,,,2022-02-24 01:39:06.921160,00.00
166,Ørneskrysset bensin og service Shell,0,51480048,"Havneveien 8, 8150 Ørnes","49.252814, 5.4718272",,,,,,,2022-02-24 01:39:34.145351,00.00
167,Yx 7-Eleven i Sør-Rogaland,0,80032020,"Sandnesveien 22, 4330 Ålgård","58.76809544531214, 5.8494351453121425",,,,,,,2022-02-24 01:47:39.523915,00.00
168,Automat1 Høvik,0,80032020,"Markalleen 118, 1363 Høvik","59.89743622248869, 10.579137822488695",,,,,,,2022-02-24 02:30:47.349365,00.00
169,Automat1 Asker,0,80032020,"Gamle Borgenvei 1, 1383 Asker","59.83482966967019, 10.43519206967019",,,,,,,2022-02-24 01:39:06.921160,00.00
170,Automat1 Langhus,0,80032020,"Regnbueveien 2, 1405 Langhus","59.74967155, 10.836916819053211",,,,,,,2022-02-24 01:39:34.145351,00.00
171,Automat1 Oppegård,0,80032020,"Haukeliveien 50, 1415 Oppegård","59.766975, 10.8128583",,,,,,,2022-02-24 01:47:39.523915,00.00
172,Automat1 Hagan,0,80032020,"Trondheimsveien 742, 1481 Hagan","32.1560257, -81.9337275",,,,,,,2022-02-24 02:30:47.349365,00.00
173,Automat1 Nittedal,0,80032020,"Kvernstuveien 2, 1482 Nittedal","60.08067308028718, 10.856829711946748",,,,,,,2022-02-24 01:39:06.921160,00.00
174,Automat 1 Varnaveien,0,80032020,"Varnaveien 27, 1526 Moss","59.41686809025626, 10.670515884525399",,,,,,,2022-02-24 01:39:06.921160,00.00
175,Automat1 Vestby,0,80032020,"Vestbyveien 35, 1543 Vestby","59.560263645499575, 10.712272740834079",,,,,,,2022-02-24 01:39:34.145351,00.00
176,Automat 1 Vålerveien,0,80032020,"Vålerveien 179, 1599 Moss","59.44522202003002, 10.699666426337858",,,,,,,2022-02-24 01:47:39.523915,00.00
177,Automat1 Fredrikstad,0,80032020,"Mosseveien 39, 1610 Fredrikstad","59.213690990325695, 10.936489990325697",,,,,,,2022-02-24 02:30:47.349365,00.00
178,Automat1 Rolvsøy,0,80032020,"Dikeveien 1, 1661 Rolvsøy","59.25958972748471, 10.999090527484707",,,,,,,2022-02-24 01:39:06.921160,00.00
179,Automat1 Askim,0,80032020,"Vestre ringvei 2, 1831 Askim","59.58197053306523, 11.148552195427706",,,,,,,2022-02-24 01:39:34.145351,00.00
180,Automat1 Rakkestad,0,80032020,"Storgata 35, 1890 Rakkestad","59.36073243434306, 11.421541564274891",,,,,,,2022-02-24 01:47:39.523915,00.00
181,Automat1 Kløfta,0,80032020,"Trondheimsvegen - Kløfta 144, 2040 Kløfta","41.36795629172396, -72.92256263384401",,,,,,,2022-02-24 02:30:47.349365,00.00
182,Automat1 Jessheim,0,80032020,"Algarheimsvegen 77, 2052 Jessheim","60.14252288491574, 11.17707278491574",,,,,,,2022-02-24 01:39:06.921160,00.00
183,Automat1 Hamar,0,80032020,"Stangevegen 66, 2317 Hamar","60.7949928115166, 11.0683097115166",,,,,,,2022-02-24 01:39:34.145351,00.00
184,Automat1 Gjøvik,0,80032020,"Ringvegen 8, 2816 Gjøvik","60.79685333596361, 10.693710735963608",,,,,,,2022-02-24 01:47:39.523915,00.00
185,Automat1 Drammen,0,80032020,"Tollbugata 114, 3041 Drammen","59.74391198835166, 10.20461198835166",,,,,,,2022-02-24 02:30:47.349365,00.00
186,Automat1 Holmestrand,0,80032020,"Kleivbrottet 7, 3084 Holmestrand","59.55949156774687, 10.153536566863016",,,,,,,2022-02-24 01:39:06.921160,00.00
187,Automat1 Halfdan,0,80032020,"Halfdan Wilhelmsens alle 37, 3117 Tønsberg","59.27342590167395, 10.4278084582474",,,,,,,2022-02-24 01:39:34.145351,00.00
188,Automat1 Sem,0,80032020,"Åshaugveien, 3170 Sem","42.753712797092305, 1.524422523072298",,,,,,,2022-02-24 01:47:39.523915,00.00
189,Automat 1 Horten,0,80032020,"Torggata 2, 3181 Horten","59.41768074490179, 10.482967680827729",,,,,,,2022-02-24 02:30:47.349365,00.00
190,Automat1 Sandefjord,0,80032020,"Nedre Gokstadvei 27, 3228 Sandefjord","59.130178866501794, 10.225727866501796",,,,,,,2022-02-24 01:39:06.921160,00.00
191,Automat1 Larvik,0,80032020,"Tjøllingveien 45, 3262 Larvik","59.05339268176662, 10.02740168176662",,,,,,,2022-02-24 01:39:06.921160,00.00
192,Circle K Truck Larvik,0,80032020,3270 Larvik,"59.0803163335312, 10.065413955802534",,,,,,,2022-02-24 01:39:34.145351,00.00
193,Automat1 Rortunet,0,80032020,"Odalsveien 64, 3470 Slemmestad","59.78068356232725, 10.49567936232725",,,,,,,2022-02-24 01:47:39.523915,00.00
194,Automat1 Hønefoss,0,80032020,"Osloveien 21, 3511 Hønefoss","60.16942628931147, 10.24923728931147",,,,,,,2022-02-24 02:30:47.349365,00.00
195,Automat1 Notodden,0,80032020,"Merdevegen 2, 3676 Notodden","59.68743731886396, 9.151143089726832",,,,,,,2022-02-24 01:39:06.921160,00.00
196,Automat1 Skien,0,80032020,"Klyvevegen 25, 3740 Skien","59.26653178787558, 9.531378935413047",,,,,,,2022-02-24 01:39:34.145351,00.00
197,Automat1 Porsgrunn,0,80032020,"Vallermyrvegen 36, 3917 Porsgrunn","59.14095552972615, 9.656446029726142",,,,,,,2022-02-24 01:47:39.523915,00.00
198,Automat1 Porsgrunn d,0,80032020,"Fjordgata 15, 3936 Porsgrunn","59.14117391336388, 9.656664413363876",,,,,,,2022-02-24 02:30:47.349365,00.00
199,Automat1 Arendal,0,32741196,"Strømsbusletta 10, 4847 Arendal","58.4612863, 8.7516817",,,,,,,2022-02-24 01:39:06.921160,00.00
200,Rødberg veiservice AS,0,78977300,"Sentrum 38, 3630 Rødberg","69.5819085199443, 20.03452241994431",,,,,,,2022-02-24 01:39:34.145351,00.00
201,Esso Hesseng,0,69254210,"Tunnelveien 2, 9912 Hesseng","69.68712720769012, 29.987569805846814",,,,,,,2022-02-24 01:47:39.523915,00.00
202,Circle K Mosseporten,0,63868050,"Patterødveien 1, 1599 Moss","59.44593215753549, 10.704813963150317",,,,,,,2022-02-24 02:30:47.349365,00.00
203,Circle K Sørum,0,61334335,"Haldenveien 326, 1923 Sørum","64.0791582, 68.8149849",,,,,,,2022-02-24 01:39:06.921160,00.00
204,Circle K Brandbu,0,32137635,"Torget 1, 2760 Brandbu","60.42104274028949, 10.507291340289488",,,,,,,2022-02-24 01:39:34.145351,00.00
205,YX 7-Eleven Nes,0,56145750,"Ådalsveien 1161, 3524 Nes i Ådal","60.5629220924402, 9.998429318410288",,,,,,,2022-02-24 01:47:39.523915,00.00
206,Circle K Ravnanger,0,72497200,"Ravnangervegen, 5310 Hauglandshella","60.446365546950084, 5.155709946950087",,,,,,,2022-02-24 02:30:47.349365,00.00
207,O M Grefstad AS,0,74334474,"Løkkenveien 175, 7332 Løkken Verk","63.11763187459332, 9.702726879086937",,,,,,,2022-02-24 01:39:06.921160,00.00
208,Cirkle K Namsskogan,0,45499555,"Kleist Geddes vei 35, 7890 Namsskogan","64.96833376293431, 13.197726240733596",,,,,,,2022-02-24 01:39:06.921160,00.00
209,Hålogaland Varmeservice Shell Oljesenter,0,0,"Markveien 23, 8402 Sortland","68.76765203475081, 15.368273853311445",,,,,,,2022-02-24 01:39:34.145351,00.00
210,Shell Grøstad,0,0,"Hortensveien 120, 3157 Barkåker","59.318817112911916, 10.390123412911912",,,,,,,2022-02-24 01:47:39.523915,00.00
211,Yx Hell d,0,74806550,"Woldsethbakken 80, 7517 Hell","63.44558692353855, 10.91217055906205",,,,,,,2022-02-24 02:30:47.349365,00.00
212,Yx Hell,0,0,"Woldsethbakken 80, 7517 Hell","63.445214768345885, 10.911798403869383",,,,,,,2022-02-24 01:39:06.921160,00.00
213,Shell Eikeskog Automat,0,73970352,"Eikeskogvegen 30, 5570 Aksdal","59.420442519418, 5.447842519418007",,,,,,,2022-02-24 01:39:34.145351,00.00
214,Circle K Hommelvik,0,22304748,"Malvikvegen 1357, 7550 Hommelvik","63.4121751, 10.795545",,,,,,,2022-02-24 01:47:39.523915,00.00
215,Esso Alna,0,23126520,"Strømsveien 241B, 0668 Oslo","59.92528199656023, 10.845434212604271",,,,,,,2022-02-24 02:30:47.349365,00.00
216,Uno-X Bryn,0,0,"Østensjøveien 79, 0667 Oslo","59.904518253638464, 10.825112786140684",,,,,,,2022-02-24 01:39:06.921160,00.00
217,Esso Hellerudveien,0,22526950,"Hellerudveien 92, 0687 Oslo","59.898748707831906, 10.85314239400921",,,,,,,2022-02-24 01:39:34.145351,00.00
218,Esso Røa,0,67175340,"Vækerøveien 205 B, 0751 Oslo","59.947869589158806, 10.643499629271266",,,,,,,2022-02-24 01:47:39.523915,00.00
219,Esso Vøyenenga,0,66987340,"Skuiveien 71, 1339 Vøyenenga","59.90585603114932, 10.481085277550466",,,,,,,2022-02-24 02:30:47.349365,00.00
220,Esso Asker,0,67073400,"Drammensveien 884, 1383 Asker","59.83505269159909, 10.435415091599086",,,,,,,2022-02-24 01:39:06.921160,00.00
221,Esso Nittedal,0,69294000,"Hadelandsveien 656, 1482 Nittedal","60.08045425, 10.856610881659574",,,,,,,2022-02-24 01:39:34.145351,00.00
222,Esso Råde,0,69126080,"Mosseveien 18, 1640 Råde","54.33138889792045, 9.745494497920445",,,,,,,2022-02-24 01:47:39.523915,00.00
223,Esso Sarpsborg,0,69104410,"Storgata 58, 1724 Sarpsborg","59.28420975802062, 11.109942058020618",,,,,,,2022-02-24 02:30:47.349365,00.00
224,Esso Borgenhaugen,0,69833230,"Hafslunds gate 32, 1738 Borgenhaugen","59.26715412357801, 11.177615223578005",,,,,,,2022-02-24 01:39:06.921160,00.00
225,Esso Spydeberg,0,63805850,"Osloveien 8, 1820 Spydeberg","59.62120650408349, 11.07975140408349",,,,,,,2022-02-24 01:39:06.921160,00.00
226,Esso Lillestrøm,0,64836660,"Nittedalsgata 66, 2000 Lillestrøm","59.95377919529466, 11.045516995294658",,,,,,,2022-02-24 01:39:34.145351,00.00
227,Esso Strømmen,0,63943280,"Strømsveien 89, 2010 Strømmen","59.94531863575941, 11.007033935759415",,,,,,,2022-02-24 01:47:39.523915,00.00
228,Esso Jessheim,0,63959470,"Lokevegen 7, 2067 Jessheim","60.1424103418851, 11.176960241885102",,,,,,,2022-02-24 02:30:47.349365,00.00
229,Esso Råholt,0,62961176,"Trondheimsvegen 121, 2070 Råholt","60.28411247754966, 11.173127977549663",,,,,,,2022-02-24 01:39:06.921160,00.00
230,Esso Skarnes,0,63902235,"Oslovegen 2, 2100 Skarnes","60.257070382803605, 11.675627119287117",,,,,,,2022-02-24 01:39:34.145351,00.00
231,Esso Vormsund,0,62945522,"Kongsvingervegen 1989, 2160 Vormsund","60.15368662049204, 11.416514049793303",,,,,,,2022-02-24 01:47:39.523915,00.00
232,Salgsboden AS,0,62369699,"Finnskogvegen, 2256 Grue Finnskog","57.52821956601358, 12.633703466013586",,,,,,,2022-02-24 02:30:47.349365,00.00
233,Nemob AS,0,32255180,"Kastbakkvegen 11, 2390 Moelv","60.93064825754556, 10.699765657545562",,,,,,,2022-02-24 01:39:06.921160,00.00
234,Esso Park,0,32882900,"Hauges gate 57, 3019 Drammen","59.74407424614858, 10.20477424614858",,,,,,,2022-02-24 01:39:34.145351,00.00
235,Esso Kobbervikdalen,0,33376640,"E-18 67, 3036 Drammen","59.74410865533306, 10.204808655333053",,,,,,,2022-02-24 01:47:39.523915,00.00
236,Esso Kilen,0,33319288,"Halfdan Wilhelmsens alle 39, 3117 Tønsberg","59.2735264037493, 10.429025467752972",,,,,,,2022-02-24 02:30:47.349365,00.00
237,Esso Tonsberg,0,33031930,"Nøtterøveien 1 A, 3127 Tønsberg","59.267852536362255, 10.408187736362255",,,,,,,2022-02-24 01:39:06.921160,00.00
238,Esso Horten,0,33031770,"Storgata 39, 3182 Horten","59.414118206200904, 10.481105478990873",,,,,,,2022-02-24 01:39:34.145351,00.00
239,Esso Borre,0,32227230,"Raveien 11, 3184 Borre","59.38028971129374, 10.455776498753007",,,,,,,2022-02-24 01:47:39.523915,00.00
240,Esso Lierstranda,0,32160505,"Frydenlund 23, 3414 Lierstranda","59.756842276891284, 10.258578076891288",,,,,,,2022-02-24 02:30:47.349365,00.00
241,Esso Krokkleiva,0,35010166,"Åsaveien 2, 3531 Krokkleiva","60.0583533, 10.3141814",,,,,,,2022-02-24 01:39:06.921160,00.00
242,Esso Notodden,0,35904120,"Heddalsvegen 20, 3674 Notodden","59.687356059591956, 9.151061830454829",,,,,,,2022-02-24 01:39:34.145351,00.00
243,Esso Skien,0,51585467,"Myren 1 A, 3718 Skien","59.26655709134209, 9.531404238879551",,,,,,,2022-02-24 01:47:39.523915,00.00
244,Esso Stavanger,0,51744030,"Hillevågsveien 37, 4016 Stavanger","59.10240721653226, 5.713005673807963",,,,,,,2022-02-24 02:30:47.349365,00.00
245,Esso Jørpeland,0,38262533,"Ryfylkevegen 953, 4100 Jørpeland","59.024131834981084, 6.043993634981078",,,,,,,2022-02-24 01:39:06.921160,00.00
246,Shell Express Mandal,0,38049900,"Søren Jaabæks vei 9, 4515 Mandal","58.026620331083706, 7.4611757596770705",,,,,,,2021-12-28 14:39:00.282380,00.00
247,Parko AS,0,37275414,"Vestre Strandgate 13, 4610 Kristiansand S","58.142994821736664, 7.994185663058453",,,,,,,2022-02-24 01:39:06.921160,00.00
248,Tank Brekkestø,0,37038336,"Fv232 210, 4780 Brekkestø","58.19458089646243, 8.345818584192603",,,,,,,2022-02-24 01:39:34.145351,00.00
249,Esso Froland,0,37099010,"Orrevegen 2, 4820 Froland","58.587284600000004, 8.600437985137697",,,,,,,2022-02-24 01:47:39.523915,00.00
250,Esso Arendal,0,53411115,"Sagvannsveien 1, 4848 Arendal","58.4634, 8.7129",,,,,,,2022-02-24 02:30:47.349365,00.00
251,Esso Stord,0,73937775,"Sæ 10, 5417 Stord","59.82515820985799, 5.4885082998244465",,,,,,,2022-02-24 01:39:06.921160,00.00
252,Esso Trondheim,0,45517161,"Brøsetvegen 188, 7050 Trondheim","63.430723344415476, 10.395350444415476",,,,,,,2022-02-24 01:39:34.145351,00.00
253,Ekå AS,0,74157394,"Østre Rosten 32, 7075 Tiller","63.356083364711296, 10.379499564711296",,,,,,,2022-02-24 01:47:39.523915,00.00
254,Rokseth AS,0,22564090,"Handverksvegen 40, 7790 Malm","60.2507611, 25.0085738",,,,,,,2022-02-24 02:30:47.349365,00.00
255,Automat 1 Sporveisgata,0,22665600,"Pilestredet 75c, 0354 Oslo","59.92669547234362, 10.728512787759556",,,,,,,2022-02-24 01:39:06.921160,00.00
256,St1 Norge AS,0,22506774,"Drammensveien 134, 0277 Oslo","59.92258116716, 10.67213599733846",,,,,,,2022-02-24 01:39:34.145351,00.00
257,Shell Ullern,0,22565817,"Bærumsveien 20 B, 0284 Oslo","59.926638023453506, 10.635970363966408",,,,,,,2022-02-24 01:47:39.523915,00.00
258,Shell Marienlyst,0,22490307,"Kirkeveien 92, 0361 Oslo","59.93244538679795, 10.722056922528132",,,,,,,2022-02-24 02:30:47.349365,00.00
259,Shell Vinderen,0,22227704,"Slemdalsveien 65, 0373 Oslo","59.94249720103959, 10.705353942394147",,,,,,,2022-02-24 01:39:06.921160,00.00
260,Shell Sinsen,0,32759080,"Trondheimsveien 184, 0570 Oslo","59.93254364631079, 10.778273612801646",,,,,,,2022-02-24 01:39:34.145351,00.00
261,DRIV Ulven,0,22670231,"Knud Bryns vei 1, 0581 Oslo","58.58358939237231, 16.333589392372303",,,,,,,2022-02-24 01:47:39.523915,00.00
262,Shell Etterstad,0,22261992,"Ensjøveien 35, 0661 Oslo","59.91080302643459, 10.79167207177101",,,,,,,2022-02-24 02:30:47.349365,00.00
263,Shell Manglerud,0,23302580,"Beiteveien 1, 0679 Oslo","59.89790443063578, 10.814489442280328",,,,,,,2022-02-24 01:39:06.921160,00.00
264,YX 7-Eleven Ryen,0,22589357,"Enebakkveien 135, 0680 Oslo","59.896006195737414, 10.802203018057481",,,,,,,2022-02-24 01:39:06.921160,00.00
265,Shell Bjølsen,0,22259800,"Maridalsveien 262, 0872 Oslo","59.947032472679034, 10.759788370925227",,,,,,,2022-02-24 01:39:34.145351,00.00
266,Shell Grorud,0,22100200,"Trondheimsveien 466, 0962 Oslo","59.960284942314225, 10.884187854162114",,,,,,,2022-02-24 01:47:39.523915,00.00
267,Esso Haugenstua,0,22215218,"Garver Ytteborgs vei 100, 0977 Oslo","59.95219391489361, 10.914243191489364",,,,,,,2022-02-24 02:30:47.349365,00.00
268,Shell Rommen,0,22322700,"Nedre Rommen 1, 0988 Oslo","59.96291315580263, 10.90747913156427",,,,,,,2022-02-24 01:39:06.921160,00.00
269,Esso Karihaugen,0,22282209,"Per Krohgs vei 3, 1065 Oslo","59.938018271428575, 10.923003065306123",,,,,,,2022-02-24 01:39:34.145351,00.00
270,Shell Kastellet,0,23169220,"Nyquistveien 1, 1176 Oslo","59.871974340747364, 10.790681874444958",,,,,,,2022-02-24 01:47:39.523915,00.00
271,Esso Holmlia,0,22621021,"Holmliveien 102, 1252 Oslo","59.83199984588519, 10.795904484687451",,,,,,,2022-02-24 02:30:47.349365,00.00
272,Shell Mortensrud,0,47348975,"Dalsåsen 4, 1285 Oslo","59.85030459232251, 10.834662059235814",,,,,,,2022-02-24 01:39:06.921160,00.00
273,Esso Lommedal,0,67130669,"Gamle Lommedalsvei 115, 1348 Rykkinn","59.92893120485005, 10.475506204850056",,,,,,,2022-02-24 01:39:34.145351,00.00
274,Bjerkeli handel AS,0,92865920,"Økriveien 34, 1349 Rykkinn","59.9287389, 10.4753139",,,,,,,2022-02-24 01:47:39.523915,00.00
275,Yx Rud,0,67536349,"Rudssletta 90, 1351 Rud","54.968216, 12.5110369",,,,,,,2022-02-24 02:30:47.349365,00.00
276,Esso Stabekk,0,66799090,"Gamle Drammensvei 39, 1369 Stabekk","59.9083417, 10.6015667",,,,,,,2022-02-24 01:39:06.921160,00.00
