index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
80,Shell Valldal,0,71220660,"Syltegata 5, 6210 Valldal","62.29902256001581, 7.2597771600158065",,,Odda,Odda,Vestland,"60.0679248, 6.5469316",2022-02-24 01:39:06.921160,00.00
81,Esso Åndalsnes,0,57863740,"Øran Øst, 6300 Åndalsnes","62.56792171030628, 7.6892922103062835",,,Orkanger,Orkdal,Trøndelag,"63.304819, 9.8496676",2022-02-24 01:39:34.145351,00.00
82,Yx Stårheim,0,57876600,"Nordfjordvegen 5819, 6777 Stårheim","61.9188318, 5.7612633",,,Otta,Sel,Innlandet,"61.7712352, 9.5398992",2022-02-24 01:47:39.523915,00.00
83,Yx Stryn,0,57686157,"Bruagrenda 2, 6783 Stryn","61.8221085271553, 6.80327124162289",,,Rjukan,Tinn,Vestfold og Telemark,"59.8786976, 8.5941579",2022-02-24 02:30:47.349365,00.00
84,Shell Fortun d,0,57666650,"Lustravegen 4851, 6877 Fortun","61.4949642, 7.6889767",,,Sandnessjøen,Alstahaug,Nordland,"66.0215521, 12.6315678",2022-02-24 01:39:06.921160,00.00
85,Esso Lærdal,0,72427220,"Øyragata 1, 6887 Lærdal","61.03861345, 7.8032867220845485",,,Sandvika,Bærum,Viken,"59.8921158, 10.5249914",2022-02-24 01:39:06.921160,00.00
86,Shell Berkåk,0,74831960,"Mjukliveien 1, 7391 Rennebu","62.76665679050212, 9.887714124687108",,,Sauda,Sauda,Rogaland,"59.70456595, 6.462093764721425",2022-02-24 01:39:34.145351,00.00
87,Best Hegra,0,46879000,"Mellomriksvegen 969, 7520 Hegra","26.79118715, 37.952443754648186",,,Ski,Ski,Viken,"41.2033609, 47.1802623",2022-02-24 01:47:39.523915,00.00
88,LPG Tromsø,0,77601400,"Skattørvegen 40, 9018 Tromsø","69.64955464365524, 18.954690043655233",,,Skudeneshavn,Karmøy,Rogaland,"59.1497472, 5.2581715",2022-02-24 02:30:47.349365,00.00
89,Best Kvaløysletta,0,61352450,"Manetvegen 6, 9100 Kvaløysletta","69.6953085, 18.8708572",,,Sortland,Sortland,Nordland,"68.76729605, 15.367917868560635",2022-02-24 01:39:06.921160,00.00
90,Coop øst SA,0,31281343,"Bygdinvegen 1134, 2943 Rogne","46.0483093, 2.3117569",,,Stathelle,Bamble,Vestfold og Telemark,"59.043879, 9.6952755",2022-02-24 01:39:34.145351,00.00
